FID,X,Y,Mean_H,Std_H,Mean_Mean_Slope,Std_Mean_Slope,Max_Max_Slope,Mean_Slope_Std,Mean_Curvature,Upper_Mean_Slope,Lower_Mean_Slope,Inflection_Count,Max_Curvature,Std_Curvature,Mean_Slope_deg_x_C,C_over_Gamma_Mean_H,tan_Phi_over_tan_Mean_Slope,Mean_Slope_x_Gamma,Phi_over_Mean_Slope,Mean_Max_Slope_x_C,Gamma_Mean_H_sin_Mean_Slope,C_over_Mean_Profile_L_Gamma,tan_Phi_over_Mean_Slope_Std,Upper_Slope_x_C,Phi_over_Gamma_over_Mean_H,Curvature_x_C_over_Gamma,Min_FoS
1512,1703830.877,3933837.502,297.6667,87.271,13.7948,1.0872,55.2446,10.05,0.0045,10.413,17.1413,64.3333,0.0076,0.0036,620.7662,0.0067,1.8992,310.3831,1.8123,2486.007,1596.988,0.0007,0.0464,468.5835,0.0037,0.0089,
1513,1708812.747,3932854.75,162.6667,49.466,13.718,1.4562,39.4479,9.4396,0.0112,14.1424,12.5685,18.6667,0.0161,0.0067,617.3113,0.0123,1.9103,308.6557,1.8224,1775.1564,867.9465,0.0023,0.0494,636.4082,0.0068,0.0224,
1514,1718867.251,3933095.003,172,32.2594,10.9238,0.5826,29.6146,7.2994,-0.0023,10.6723,13.6693,20,0.0039,0.0054,491.5732,0.0116,2.4161,245.7866,2.2886,1332.6551,733.3811,0.002,0.0639,480.2519,0.0065,-0.0047,
1515,1720246.75,3932951.997,117.3333,33.7672,12.8114,0.0176,35.9912,8.9358,0.0061,13.8608,10.7473,16.3333,0.0116,0.0077,576.5147,0.017,2.0506,288.2573,1.9514,1619.6035,585.4019,0.0025,0.0522,623.7343,0.0095,0.0122,
1516,1721028.125,3933392.748,158.3333,21.4838,13.3615,1.3575,47.1275,10.9406,0.0007,9.9381,13.6822,31.6667,0.0137,0.0096,601.2686,0.0126,1.9632,300.6343,1.871,2120.7376,823.2745,0.0014,0.0426,447.2157,0.007,0.0014,
1517,1731141.252,3933245.748,125.3333,49.0261,13.193,1.897,39.0995,8.5954,0.004,9.9488,15.7644,22,0.012,0.0083,593.6865,0.016,1.9892,296.8433,1.8949,1759.4792,643.6156,0.0016,0.0543,447.6978,0.0089,0.008,
1518,1687010.124,3933078.25,63.6667,17.2498,7.3298,0.779,25.5072,4.9694,-0.0033,7.057,7.146,21.6667,0.0017,0.0039,329.8388,0.0314,3.6252,164.9194,3.4108,1147.8236,182.7578,0.0021,0.0938,317.5632,0.0175,-0.0066,
1519,1692803.125,3933019.745,184,49.5379,10.045,0.4334,30.2033,6.7195,-0.0057,12.5592,8.815,42,0.0018,0.0056,452.0244,0.0109,2.6325,226.0122,2.4888,1359.1494,722.1044,0.001,0.0694,565.1626,0.006,-0.0115,
1520,1693760.503,3932969.247,97,25.6645,11.1718,1.0368,31.3836,7.3073,-0.0009,11.2716,10.4316,17.6667,0.0136,0.0193,502.731,0.0206,2.3611,251.3655,2.2378,1412.2634,422.8627,0.0021,0.0638,507.2238,0.0115,-0.0018,
1521,1701328.626,3933443.75,144.6667,31.7945,12.5115,1.4123,36.8615,7.7443,0.0015,12.0711,14.1317,43,0.0062,0.0034,563.0183,0.0138,2.1014,281.5091,1.9982,1658.7678,705.1497,0.001,0.0602,543.1974,0.0077,0.0029,
1522,1729092.997,3932841.01,67.6667,15.195,9.4473,1.0156,27.1065,6.2933,0.0078,7.4068,9.2129,14,0.0127,0.0042,425.1277,0.0296,2.8024,212.5639,2.6463,1219.7925,249.9032,0.0028,0.0741,333.3063,0.0164,0.0156,
1523,1734414.127,3932962.494,123.3333,3.2998,16.2314,2.256,43.2562,9.8486,0.002,17.9703,12.919,18.3333,0.0185,0.0134,730.4149,0.0162,1.6018,365.2074,1.5402,1946.5299,775.6626,0.0024,0.0473,808.6641,0.009,0.0041,
1524,1735489,3932903.25,140,49.7192,16.0883,1.5811,46.9302,10.8647,0.0083,11.3645,17.8755,17.3333,0.0322,0.0196,723.9728,0.0143,1.6168,361.9864,1.5539,2111.8598,872.9224,0.0022,0.0429,511.4045,0.0079,0.0167,
1525,1689072.126,3932914.253,198.3333,87.6901,12.3107,2.0717,53.4111,9.6395,-0.0025,15.484,11.8139,42.6667,0.0001,0.0019,553.9802,0.0101,2.1368,276.9901,2.0308,2403.4982,951.4601,0.001,0.0484,696.7788,0.0056,-0.0049,
1526,1699502,3932860.5,78.3333,15.6915,14.675,1.3613,43.1015,11.1829,0.0202,10.2833,15.7967,9.6667,0.0389,0.016,660.3744,0.0255,1.7806,330.1872,1.7036,1939.5679,446.504,0.0035,0.0417,462.7467,0.0142,0.0405,
1527,1708219.877,3933196.748,142.3333,51.4479,12.2286,1.0518,31.5001,8.1593,-0.0049,10.8915,12.5982,28,0.0057,0.0078,550.2884,0.0141,2.1516,275.1442,2.0444,1417.5066,678.3318,0.0015,0.0572,490.1168,0.0078,-0.0097,
1528,1712328.5,3932916.498,128,16.2686,11.7457,0.8069,37.754,8.431,-0.0023,13.3931,11.2638,23.3333,0.0075,0.0101,528.5546,0.0156,2.2427,264.2773,2.1284,1698.9282,586.2745,0.0018,0.0553,602.6886,0.0087,-0.0046,
1529,1726978.875,3933085.503,65.3333,19.4308,8.812,0.5336,23.9409,5.7653,-0.0046,8.481,8.1391,19,0,0.0034,396.5416,0.0306,3.008,198.2708,2.837,1077.3403,225.1943,0.002,0.0809,381.6456,0.017,-0.0092,
1530,1687771.75,3932871.258,63.6667,19.3964,6.9985,1.1987,23.6887,4.8624,0.0001,7.3076,5.6602,12.3333,0.0246,0.0188,314.933,0.0314,3.7986,157.4665,3.5722,1065.991,174.5409,0.0033,0.0959,328.8416,0.0175,0.0003,
1531,1694709.624,3932960,98.6667,9.6724,10.7432,1.1138,30.2089,6.6316,-0.0045,11.1183,10.6278,21,0.0051,0.0135,483.4419,0.0203,2.4577,241.721,2.3271,1359.4023,413.8228,0.0019,0.0703,500.3256,0.0113,-0.009,
1532,1698390.625,3932798.755,105.3333,51.545,8.907,2.0606,31.5661,6.9832,0.0021,7.8619,8.5865,21.3333,0.008,0.0076,400.8169,0.019,2.9754,200.4084,2.8068,1420.4765,366.9514,0.0019,0.0668,353.784,0.0105,0.0042,
1533,1700494.251,3933010.5,174.6667,42.5859,12.8023,0.7322,46.8971,8.871,0.0027,13.4898,12.4042,35,0.0055,0.0033,576.1047,0.0115,2.0521,288.0523,1.9528,2110.3688,870.8412,0.0012,0.0526,607.0408,0.0064,0.0053,1.1502
1534,1714772.376,3933062.007,127.6667,43.4383,10.0594,0.6751,41.2459,7.5977,-0.0065,9.9003,11.1381,27.6667,0.0097,0.0158,452.6708,0.0157,2.6286,226.3354,2.4852,1856.0673,501.7345,0.0013,0.0614,445.5145,0.0087,-0.0129,
1535,1735795.243,3933140.5,133.3333,49.9489,17.4366,3.6899,43.0862,10.6165,-0.0004,16.9994,17.3468,22,0.0105,0.0077,784.6481,0.015,1.4847,392.324,1.4338,1938.8808,898.9521,0.0019,0.0439,764.9739,0.0083,-0.0007,
1536,1694203.872,3932752.244,89,14.5144,13.023,2.0219,39.4592,10.7652,0.0269,7.9677,11.794,6.3333,0.0636,0.0363,586.0349,0.0225,2.0161,293.0175,1.9197,1775.6652,451.2476,0.0049,0.0433,358.5448,0.0125,0.0538,
1537,1719036.75,3932873,141.6667,30.2692,10.9969,2.9182,32.011,7.4447,-0.0004,14.1365,9.0057,19.6667,0.0109,0.0086,494.862,0.0141,2.3996,247.431,2.2734,1440.4954,608.0362,0.0023,0.0626,636.1411,0.0078,-0.0007,
1538,1726613.625,3932795.247,87.3333,14.6363,8.3685,0.9627,20.8279,5.51,0.0039,7.7724,5.6826,17,0.0195,0.0142,376.5821,0.0229,3.1699,188.291,2.9874,937.2538,285.9841,0.0026,0.0846,349.7596,0.0127,0.0078,
1539,1734662.875,3933032.743,134,31.4431,14.778,1.2561,41.5003,9.8982,0.0122,12.2004,14.335,19,0.0311,0.0134,665.0098,0.0149,1.7677,332.5049,1.6917,1867.5119,769.0495,0.0019,0.0471,549.0197,0.0083,0.0244,
1540,1690556.5,3933151,132.3333,32.2938,8.7953,1.1499,24.2984,5.082,-0.002,7.605,8.692,31.3333,0.0012,0.0024,395.7899,0.0151,3.0138,197.895,2.8424,1093.4268,455.2756,0.0013,0.0918,342.223,0.0084,-0.0039,
1541,1691282.004,3932800.259,71.6667,13.8884,10.5843,1.8276,37.9883,8.7218,-0.014,9.8596,5.959,9.3333,-0.003,0.0092,476.2955,0.0279,2.4955,238.1478,2.362,1709.4743,296.1885,0.0035,0.0535,443.6809,0.0155,-0.0279,
1542,1707129.25,3933268,209.6667,28.3941,11.0892,2.1551,31.634,7.0992,-0.0007,12.8419,9.6997,33.6667,0.0053,0.0044,499.0129,0.0095,2.3792,249.5064,2.2545,1423.5317,907.3477,0.0012,0.0657,577.886,0.0053,-0.0013,
1543,1707682.625,3933482.754,219.3333,42.8978,12.3299,1.8518,38.0758,8.3591,0.0029,11.2519,12.6916,46,0.0079,0.0037,554.8473,0.0091,2.1333,277.4237,2.0276,1713.4095,1053.8245,0.001,0.0558,506.3345,0.0051,0.0059,
1544,1719625.498,3933054.252,134.6667,35.7056,12.4066,1.7635,31.5455,7.8544,0.0038,12.9531,13.0731,20.3333,0.0151,0.0084,558.2986,0.0149,2.1197,279.1493,2.0151,1419.5465,650.9907,0.0018,0.0594,582.8916,0.0083,0.0077,
1545,1722169.751,3932971.501,243.3333,20.9497,15.2774,1.832,45.2311,10.7617,-0.0036,16.6706,15.0317,34,0.0154,0.0166,687.4818,0.0082,1.7072,343.7409,1.6364,2035.3975,1442.6192,0.0011,0.0433,750.1754,0.0046,-0.0071,
1546,1730828,3933349.999,143,39.6064,12.0547,1.6609,39.2119,8.5384,0.0047,12.512,11.6079,39.3333,0.0077,0.0027,542.4594,0.014,2.1836,271.2297,2.0739,1764.5363,671.9576,0.0011,0.0546,563.041,0.0078,0.0093,
1547,1720574.499,3933229.752,155.6667,22.0656,10.9182,1.3749,38.8304,7.9579,-0.0048,11.0619,10.1984,31,0.0002,0.0055,491.3177,0.0128,2.4174,245.6589,2.2898,1747.3668,663.3975,0.0013,0.0586,497.7876,0.0071,-0.0095,
1548,1728438.375,3932766.25,69,6.1644,12.9701,2.5948,36.9612,9.5274,-0.0129,11.3379,11.1253,12.3333,0.0229,0.0266,583.654,0.029,2.0246,291.827,1.9275,1663.2543,348.4468,0.0035,0.0489,510.2076,0.0161,-0.0259,
1549,1733822.873,3932987.5,130.3333,9.5685,13.1671,0.5104,45.9362,9.9114,0.0059,8.5465,14.3327,25.3333,0.0117,0.0056,592.5206,0.0153,1.9933,296.2603,1.8987,2067.1277,668.0007,0.0017,0.047,384.5934,0.0085,0.0117,
1550,1734131.249,3932946.242,139.3333,4.0277,16.7369,2.2529,43.8061,8.9031,-0.0054,16.5775,18.0279,17.3333,0.0003,0.0055,753.1597,0.0144,1.5507,376.5799,1.4937,1971.2764,902.808,0.0021,0.0524,745.9897,0.008,-0.0108,
1551,1734958.752,3932951.25,136,31.209,17.0274,1.4184,39.6714,10.8233,-0.0111,13.815,16.7644,24,0.0015,0.0146,766.2324,0.0147,1.5226,383.1162,1.4682,1785.2122,896.056,0.0018,0.0431,621.6743,0.0082,-0.0223,
1552,1681959.124,3933043.75,253.3333,51.8609,15.0063,1.9447,40.7059,9.3314,-0.0059,14.2808,14.1598,29,-0.0041,0.0019,675.2846,0.0079,1.7395,337.6423,1.666,1831.7634,1475.8764,0.0014,0.05,642.6348,0.0044,-0.0118,
1553,1686467.25,3932603.5,57,22.7303,8.0432,1.6096,25.5297,5.0472,0.012,7.2944,8.7812,9.3333,0.025,0.0093,361.9439,0.0351,3.2999,180.9719,3.1082,1148.8364,179.447,0.004,0.0924,328.2467,0.0195,0.024,
1554,1709918.002,3932786.75,106,32.8735,9.4177,1.2809,42.2791,9.9588,-0.0145,12.833,1.9284,16,-0.0047,0.0069,423.797,0.0189,2.8113,211.8985,2.6546,1902.5581,390.2598,0.0024,0.0468,577.4863,0.0105,-0.029,
1555,1711912.875,3932766.503,86.6667,23.6831,12.5345,2.517,34.8177,8.4448,0.009,12.2964,11.327,16.6667,0.0224,0.0165,564.0536,0.0231,2.0974,282.0268,1.9945,1566.7965,423.2043,0.0025,0.0552,553.3385,0.0128,0.0179,
1556,1725163,3932785.747,76.6667,23.7954,9.4861,0.183,23.5142,6.305,0.0018,7.9184,10.8475,15.3333,0.0141,0.0103,426.8747,0.0261,2.7907,213.4373,2.6354,1058.1396,284.2945,0.0026,0.074,356.3294,0.0145,0.0036,
1557,1729812.001,3932737.5,99,12.083,9.5242,1.7953,30.1639,6.8653,-0.0084,10.685,9.4867,21,-0.0048,0.0033,428.5878,0.0202,2.7793,214.2939,2.6249,1357.3742,368.5704,0.0017,0.0679,480.8229,0.0112,-0.0169,
1558,1731623.374,3933078.497,107,8.4853,11.6026,0.6523,34.4757,8.1581,-0.0039,11.4894,12.3456,31,0.0094,0.0095,522.1185,0.0187,2.2711,261.0593,2.1547,1551.405,484.2035,0.0012,0.0572,517.024,0.0104,-0.0079,
1559,1685751.628,3932911.503,114,16.3911,10.1465,0.3242,25.4747,6.6071,-0.0026,10.0635,9.3274,19.3333,0.0135,0.0142,456.5935,0.0175,2.6056,228.2968,2.4639,1146.3593,451.8659,0.0021,0.0706,452.859,0.0097,-0.0053,
1560,1686534.253,3933013.998,97,45.1885,8.6171,1.5928,31.3167,6.241,-0.0045,10.2236,8.61,31,0.0064,0.0121,387.7714,0.0206,3.0771,193.8857,2.9012,1409.2516,327.0065,0.0014,0.0747,460.064,0.0115,-0.0091,
1561,1723960.625,3932804.01,62.3333,5.1854,8.8729,1.4107,25.4746,6.8314,0.0049,9.2745,10.0368,14,0.0123,0.006,399.281,0.0321,2.987,199.6405,2.8176,1146.3588,216.3262,0.0026,0.0683,417.3504,0.0178,0.0097,
1562,1725885.373,3932841.503,98,22.0151,9.6057,1.8678,36.9343,7.2083,-0.002,9.1105,9.9176,28,0.0054,0.0058,432.2556,0.0204,2.7553,216.1278,2.6026,1662.0431,367.9407,0.0014,0.0647,409.9715,0.0113,-0.004,
1563,1681062.999,3933061.747,243,91.6951,12.4446,1.3756,54.3876,8.6808,-0.0062,15.0431,9.4036,42.3333,-0.0009,0.005,560.0085,0.0082,2.113,280.0042,2.0089,2447.444,1178.2248,0.001,0.0537,676.9397,0.0046,-0.0125,
1564,1696362.125,3932652.994,134.3333,24.074,11.1514,0.8818,29.396,7.1515,0.0006,11.678,11.795,17.3333,0.006,0.0038,501.8123,0.0149,2.3656,250.9062,2.2419,1322.822,584.5574,0.0023,0.0652,525.5115,0.0083,0.0011,
1565,1699963.75,3932591.756,120,41.2391,14.2536,0.6729,43.19,9.9983,0.0054,9.8999,17.4325,16.6667,0.0165,0.0084,641.4142,0.0167,1.8356,320.7071,1.7539,1943.5494,664.7806,0.0023,0.0466,445.4968,0.0093,0.0108,
1566,1703783.376,3932920.996,244,62.9444,18.4968,3.1075,50.0243,11.213,0.0097,21.8307,15.9546,29.6667,0.0171,0.0101,832.3553,0.0082,1.3939,416.1776,1.3516,2251.0921,1741.7103,0.0015,0.0416,982.3803,0.0046,0.0194,
1567,1724288.624,3932864.495,98.3333,19.5675,9.3002,0.3578,42.5261,7.4159,-0.0057,7.229,9.7445,22.3333,0.0068,0.0088,418.5098,0.0203,2.8475,209.2549,2.6881,1913.6757,357.5567,0.0019,0.0629,325.3058,0.0113,-0.0114,
1568,1683468.502,3932908.5,187.3333,39.4743,15.6926,1.5791,49.6993,11.4615,-0.009,15.9937,16.3545,25,-0.0069,0.0019,706.1665,0.0107,1.6598,353.0832,1.5931,2236.4673,1140.0559,0.0016,0.0407,719.7179,0.0059,-0.0181,
1569,1709396.249,3932711.756,117.3333,43.0839,9.9378,0.3226,34.5973,9.8767,-0.019,15.683,2.9744,18.6667,-0.0041,0.0143,447.2026,0.017,2.6614,223.6013,2.5156,1556.8792,455.6101,0.0023,0.0472,705.7359,0.0095,-0.038,
1570,1732023,3932759.006,63,3.559,10.7314,0.6549,28.4457,6.962,-0.0058,10.2811,10.1171,16,0.0106,0.0116,482.9136,0.0317,2.4605,241.4568,2.3296,1280.0558,263.9461,0.0024,0.067,462.6506,0.0176,-0.0116,
1571,1690457.626,3932644.25,110.3333,11.1455,10.0279,1.2653,33.8375,7.2022,0.002,11.1605,9.3733,32,0.0074,0.0039,451.2562,0.0181,2.637,225.6281,2.493,1522.6896,432.2726,0.0014,0.0647,502.2243,0.0101,0.004,
1572,1692711.503,3932754.249,170,43.9621,9.5492,0.8381,33.2431,6.4738,-0.0002,9.1225,9.4189,45,0.0029,0.0031,429.7162,0.0118,2.7719,214.8581,2.618,1495.9403,634.5496,0.001,0.072,410.5139,0.0065,-0.0005,
1573,1695405.375,3932523.494,73.3333,1.2472,14.2311,2.2375,39.5097,10.1052,-0.0189,9.8333,11.7443,5.3333,0.0362,0.0568,640.398,0.0273,1.8386,320.199,1.7567,1777.9365,405.6244,0.0045,0.0461,442.4983,0.0152,-0.0379,
1574,1696828.25,3932723.994,110.3333,22.2311,11.6241,1.0632,32.3392,7.1761,-0.003,10.1857,9.4505,15,0.0051,0.006,523.086,0.0181,2.2668,261.543,2.1507,1455.2633,500.2002,0.0025,0.065,458.3585,0.0101,-0.006,
1575,1714323.249,3932721.252,117.3333,20.6774,8.5294,0.4198,19.5787,5.4846,0.0019,9.0173,7.3337,23.6667,0.0086,0.005,383.825,0.017,3.1092,191.9125,2.931,881.0412,391.5586,0.0018,0.085,405.7769,0.0095,0.0038,
1576,1723075.371,3932818.503,127,23.7908,15.9047,0.5484,48.0662,11.0078,-0.0031,13.8346,14.4617,19,0.002,0.0049,715.7132,0.0157,1.6365,357.8566,1.5719,2162.9796,783.0658,0.002,0.0424,622.5579,0.0087,-0.0063,
1577,1734484.254,3932539.5,124.3333,44.8429,17.8191,1.8629,38.6022,11.3076,0.0009,15.3521,15.7321,12.3333,0.0188,0.0127,801.8579,0.0161,1.4507,400.929,1.403,1737.1012,856.0689,0.0029,0.0412,690.8453,0.0089,0.0019,
1578,1684930.875,3932825.248,188.3333,34.0327,13.9658,1.581,49.4815,10.0741,0.0108,9.9395,18.3689,28,0.0223,0.0091,628.4613,0.0106,1.875,314.2306,1.7901,2226.6694,1022.69,0.0016,0.0463,447.2753,0.0059,0.0215,
1579,1734025.625,3932475.994,71.6667,13.0979,14.6399,0.3905,33.7037,8.919,-0.0135,11.7777,11.5137,7.6667,0.0441,0.0416,658.7951,0.0279,1.7851,329.3976,1.7077,1516.6662,407.5482,0.0051,0.0523,529.9986,0.0155,-0.0271,
1580,1688364.25,3932573.25,122.3333,20.4179,14.0104,1.0495,38.7494,8.9304,-0.0045,15.2933,13.0336,23,0.0047,0.0089,630.4679,0.0163,1.8688,315.234,1.7844,1743.7235,666.3747,0.0017,0.0522,688.198,0.0091,-0.0091,
1581,1688972.254,3932559.25,121.6667,34.0816,13.0901,2.0292,30.6283,7.2687,-0.0025,14.1853,12.775,14.6667,0.0089,0.0092,589.0545,0.0164,2.0054,294.5273,1.9098,1378.2755,619.9973,0.003,0.0642,638.3375,0.0091,-0.005,
1582,1699571.375,3932502.75,111.3333,14.8174,16.0181,1.2448,37.091,9.9421,0.0156,12.7491,15.9924,10.3333,0.0398,0.0308,720.8124,0.018,1.6243,360.4062,1.5607,1669.0969,691.2302,0.0037,0.0469,573.7101,0.01,0.0312,
1583,1705052.499,3932720,119.6667,44.9098,11.2616,2.2812,35.4341,9.1117,0.0054,13.8629,8.0592,18.3333,0.0186,0.0103,506.7718,0.0167,2.3418,253.3859,2.2199,1594.5353,525.8151,0.0022,0.0512,623.8324,0.0093,0.0109,
1584,1718218.624,3932644.253,114.6667,42.5859,12.9997,1.7715,38.7539,9.2233,0.0079,7.9072,14.0562,18,0.0215,0.0097,584.9876,0.0174,2.0198,292.4938,1.9231,1743.9252,580.3617,0.0022,0.0506,355.8254,0.0097,0.0157,
1585,1718576.63,3932514,78.6667,13.5236,13.4139,0.6995,44.483,9.8855,0.0198,11.4144,9.8611,8.3333,0.0318,0.0125,603.6256,0.0254,1.9553,301.8128,1.8637,2001.7343,410.6116,0.004,0.0472,513.6494,0.0141,0.0395,
1586,1730538.63,3932632,107,15.7692,10.895,1.0853,33.4979,7.6155,-0.0032,12.3686,7.4504,16.3333,0.0087,0.0124,490.2767,0.0187,2.4226,245.1384,2.2946,1507.4076,455.0425,0.0024,0.0612,556.5853,0.0104,-0.0064,
1587,1682052.247,3932485.247,123,22.3756,13.8683,0.4018,49.0456,10.3369,-0.0047,10.1336,11.1985,14.3333,0.0126,0.0138,624.0725,0.0163,1.8887,312.0363,1.8027,2207.0499,663.3436,0.0023,0.0451,456.013,0.009,-0.0094,
1588,1695167.125,3932496.25,68.6667,4.9216,13.2668,1.4506,37.0191,10.0896,-0.0106,13.2449,10.1626,11.6667,0.0195,0.0219,597.0063,0.0291,1.9777,298.5032,1.8844,1665.8595,354.5557,0.0035,0.0462,596.0208,0.0162,-0.0211,
1589,1712407.875,3932552.754,63.3333,19.1891,9.6655,1.4352,29.8408,6.6163,0.017,8.3439,10.714,13.6667,0.0301,0.0102,434.948,0.0316,2.7379,217.474,2.5865,1342.8342,239.2518,0.0028,0.0705,375.4768,0.0175,0.0339,
1590,1726657.25,3932475.495,73.3333,14.8399,9.1186,1.5533,33.1934,6.5939,-0.0025,6.0512,7.2012,8.3333,0.0213,0.0178,410.3356,0.0273,2.9052,205.1678,2.7417,1493.702,261.4888,0.004,0.0707,272.3043,0.0152,-0.005,
1591,1727528.123,3932640.25,116.6667,23.3,9.5933,0.717,31.5579,7.552,-0.0093,13.2502,8.6416,24,-0.0029,0.0046,431.6999,0.0171,2.7589,215.85,2.606,1420.1067,437.4667,0.0015,0.0617,596.2584,0.0095,-0.0186,
1592,1707204.753,3932653.996,144.3333,36.8088,10.6789,1.9008,24.1859,6.967,-0.0049,8.7727,10.716,22,-0.0016,0.0023,480.5526,0.0139,2.4728,240.2763,2.3411,1088.3633,601.7798,0.0017,0.0669,394.7718,0.0077,-0.0098,
1593,1713111.374,3932624.509,80.6667,24.931,8.9217,0.7855,29.5076,5.6637,-0.0029,6.4373,8.3733,17.6667,0.0001,0.0029,401.4776,0.0248,2.9704,200.7388,2.8021,1327.8439,281.4792,0.0024,0.0823,289.6805,0.0138,-0.0058,
1594,1716693.625,3932567.757,96,12.7541,10.3919,1.4133,36.4004,6.8744,-0.0124,9.5022,9.5781,13,-0.0049,0.0062,467.6356,0.0208,2.5427,233.8178,2.4057,1638.018,389.6211,0.0028,0.0678,427.6007,0.0116,-0.0248,
1595,1719081.501,3932479.75,185.3333,29.6798,13.3198,1.3082,37.8742,8.7632,0.0056,16.6543,11.5525,24.6667,0.0086,0.0022,599.392,0.0108,1.9696,299.696,1.8769,1704.3395,960.7113,0.0018,0.0532,749.4423,0.006,0.0112,
1596,1689655.498,3932588.757,91,20.9921,9.034,1.2401,27.1527,6.4833,0.0107,5.3255,9.3262,23.3333,0.015,0.0031,406.5308,0.022,2.9329,203.2654,2.7673,1221.8704,321.5002,0.0018,0.0719,239.6455,0.0122,0.0213,
1597,1691478.375,3932588.25,78.3333,19.4308,8.6969,2.0047,36.5024,8.5131,-0.009,7.1544,7.2777,15.3333,0.0021,0.0116,391.3611,0.0255,3.0484,195.6805,2.8746,1642.6083,266.5033,0.0022,0.0548,321.9497,0.0142,-0.018,
1598,1704702.501,3932704.5,112.3333,29.3295,12.1041,1.1382,41.1401,10.1411,-0.0166,16.8199,7.6925,19.6667,-0.0129,0.0029,544.6859,0.0178,2.1744,272.343,2.0654,1851.3041,529.9891,0.0017,0.046,756.8961,0.0099,-0.0333,
1599,1709055.497,3932488.75,193.3333,70.4099,15.0687,0.9468,46.4916,10.8186,0.0037,14.2684,12.8778,24.3333,0.0185,0.0115,678.0921,0.0103,1.732,339.0461,1.6591,2092.1226,1130.9012,0.0016,0.0431,642.0785,0.0057,0.0074,
1600,1722174.625,3932585.75,210.3333,33.2499,12.3069,0.8726,46.3748,10.0762,-0.0001,13.718,11.3256,49.6667,0.0053,0.0058,553.8124,0.0095,2.1374,276.9062,2.0314,2086.8676,1008.7266,0.0008,0.0463,617.3083,0.0053,-0.0003,
1601,1723403.627,3932613.25,152,25.4558,12.0314,1.4239,48.8893,9.1267,0.0014,7.9948,14.0747,30.6667,0.0037,0.0016,541.4137,0.0132,2.1879,270.7068,2.0779,2200.019,712.892,0.0014,0.0511,359.767,0.0073,0.0028,
1602,1726943.875,3932371.25,70.3333,17.4611,10.1281,1.9351,30.7509,8.0519,0.0088,14.5842,7.6198,10.3333,0.0208,0.0155,455.7643,0.0284,2.6104,227.8821,2.4684,1383.7901,278.2818,0.0035,0.0579,656.2879,0.0158,0.0177,
1603,1730005.628,3932536.247,58.6667,14.3372,8.4233,0.8749,23.5802,5.4814,-0.0141,9.7441,7.0007,17.3333,-0.0106,0.0048,379.0471,0.0341,3.149,189.5235,2.968,1061.1079,193.3599,0.0023,0.0851,438.4834,0.0189,-0.0281,
1604,1685258.75,3932444.493,122.6667,30.2692,13.5838,2.7746,38.6134,9.5513,0.0011,6.6101,17.9261,13,0.0177,0.0126,611.2693,0.0163,1.9299,305.6347,1.8404,1737.6031,648.232,0.0028,0.0488,297.4563,0.0091,0.0021,
1605,1700432.127,3932433.503,132,61.2264,12.9628,1.4884,37.8869,8.6647,-0.0014,12.4328,10.6205,17.3333,-0.0002,0.0009,583.3248,0.0152,2.0258,291.6624,1.9286,1704.912,666.2242,0.0023,0.0538,559.4755,0.0084,-0.0028,
1606,1732520.375,3932398.25,67.6667,4.4969,14.0824,2.1793,35.6826,10.628,0.0438,7.4073,18.0417,7.3333,0.0512,0.0067,633.7079,0.0296,1.8589,316.8539,1.7753,1605.7154,370.4502,0.0043,0.0439,333.3283,0.0164,0.0877,
1607,1733044.251,3932536.758,71.6667,4.9889,10.7801,2.0994,32.7169,7.6378,0.0019,10.2253,12.073,17,0.0096,0.0062,485.1041,0.0279,2.4491,242.5521,2.3191,1472.2606,301.602,0.0021,0.0611,460.1405,0.0155,0.0038,
1608,1682953.251,3932650.704,218.6667,55.259,16.4715,1.4955,50.3762,11.0701,0.0099,14.695,15.3731,30.6667,0.0146,0.0052,741.2182,0.0091,1.5771,370.6091,1.5178,2266.9269,1395.0101,0.0014,0.0421,661.2763,0.0051,0.0197,
1609,1684103.748,3932397.496,114.6667,32.7448,17.5349,1.3503,53.0636,12.5955,0.0215,14.5218,16.8112,13,0.0595,0.0278,789.0687,0.0174,1.4758,394.5344,1.4257,2387.8639,777.3179,0.0031,0.037,653.4798,0.0097,0.0429,
1610,1687114.872,3932596.746,91.6667,8.4984,10.9167,0.8236,47.0641,7.7556,0.0124,9.7336,13.1629,26.6667,0.0153,0.0036,491.2493,0.0218,2.4177,245.6247,2.2901,2117.8867,390.5979,0.0016,0.0601,438.0141,0.0121,0.0248,
1611,1697475.877,3932549.505,160,44.5945,9.7332,1.1204,28.7445,6.9219,-0.0052,10.9765,10.7505,32.6667,-0.0002,0.0057,437.9933,0.0125,2.7185,218.9966,2.5685,1293.5016,608.6168,0.0013,0.0674,493.9429,0.0069,-0.0104,
1612,1699926.375,3932308.5,76.3333,22.0656,14.5379,4.5883,40.2653,8.7924,0.0194,11.7472,12.99,6,0.0402,0.0147,654.2035,0.0262,1.7982,327.1018,1.7196,1811.94,431.1262,0.0051,0.053,528.6252,0.0146,0.0389,
1613,1701771.375,3933375.75,230.3333,22.8813,12.5378,0.9831,42.6711,8.4018,0.0016,12.9945,11.8201,58.6667,0.0047,0.0025,564.2028,0.0087,2.0968,282.1014,1.994,1920.2,1125.0396,0.0007,0.0555,584.7515,0.0048,0.0032,
